ARG	ID	RESULTNAME	INFO	EINHEIT	LABEL	L/H	DATENTYP	NAME	MUL	DIV	ADD
IUSV1	0x5A11	STAT_SPANNUNG_LAMBDASONDE_VOR_KAT_BANK_1_WERT	Spannung Lambdasonde vor Katalysator Bank 1	V	uulsuv_w	-	unsigned integer	-	0,0048828125	1	0,0
IUSN1	0x5A13	STAT_SPANNUNG_LAMBDASONDE_HINTER_KAT_BANK_1_WERT	Spannung Lambdasonde hinter Katalysator Bank 1	V	ushk_w	-	unsigned integer	-	0,0048828125	1	-1,0
IUDMT	0x5A17	STAT_SPANNUNG_STROMMESSUNG_DMTL_WERT	Spannung Strommessung DMTL	V	uptes_w	-	unsigned integer	-	0,0048828125	1	0,0
STAT_0x5A1B_WERT	0x5A1B	STAT_ELEKTRISCHE_KRAFTSTOFFPUMPE_WERT	Elektrische Kraftstoffpumpe 	-	B_ekp	-	unsigned char	-	1	1	0
IUBUS	0x5A1D	STAT_SPANNUNG_BREMSENUNTERDRUCK_WERT	Spannung Bremsenunterdruck	V	udsbkv_w	-	unsigned integer	-	0,0048828125	1	0,0
STAT_0x5A1E_WERT	0x5A1E	STAT_DIFF_ZW_UMGEBUNGS_UND_BREMSKRAFTVERSTAERKERDRUCK_WERT	Differenz zwischen Umgebungsdruck und Bremskraftverstärker-Druck von Drucksensor (Rohwert)	hPa	dpbkvur_w	-	signed integer	-	0,0390625	1	0,0
STAT_0x5A20_WERT	0x5A20	STAT_PERIODENDAUER_MASSENSTROM_HFM_WERT	Periodendauer Massenstrom HFM	us	tpmshfm_w	-	unsigned integer	-	0,10000000149011612	1	0,0
ITKUA	0x5A21	STAT_KUEHLMITTELTEMPERATUR_KUEHLERAUSGANG_WERT	Kühlmitteltemperatur Kühlerausgang	Grad C	tmotlinf	-	unsigned char	-	0,75	1	-48,0
STAT_0x5A23_WERT	0x5A23	STAT_OELDRUCK_SOLLWERT_WERT	Öldruck Sollwert	kPa	poels_w	-	unsigned integer	-	0,10000000149011612	1	0,0
STAT_0x5A24_WERT	0x5A24	STAT_DROSSELKLAPPE_SOLLWERT_WERT	Drosselklappe Sollwert	%	wdks_w	-	unsigned integer	-	0,00152587890625	1	0,0
STAT_0x5A25_WERT	0x5A25	STAT_OELDRUCK_ISTWERT_WERT	Öldruck Istwert	hPa	poel_w	-	signed integer	-	1,0	1	0,0
RFPWG	0x5A29	STAT_FAHRPEDALWERT_WERT	Fahrpedalwert	%PED	wped_w	-	unsigned integer	-	0,0015259021893143654	1	0,0
STAT_0x5A2B_WERT	0x5A2B	STAT_TEMPERATUR_VOR_DROSSELKLAPPE_WERT	Temperatur vor Drosselklappe	Grad C	tfa1linf	-	unsigned char	-	0,75	1	-48,0
STAT_0x5A2D_WERT	0x5A2D	STAT_DRUCK_NACH_DROSSELKLAPPE_WERT	Druck nach Drosselklappe	hPa	psrg_w	-	unsigned integer	-	0,078125	1	0,0
STAT_0x5A2E_WERT	0x5A2E	STAT_KRAFTSTOFFNIEDERDRUCKSENSOR_WERT	Kraftstoffniederdrucksensor	kPa	pistndr_w	-	unsigned integer	-	0,10000000149011612	1	0,0
STAT_0x5A2F_WERT	0x5A2F	STAT_RAILDRUCK_WERT	Raildruck	MPa	prist_w	-	unsigned integer	-	5,000000237487257E-4	1	0,0
ILUZ1	0x5A30	STAT_LAUFUNRUHE_ZYLINDER_1_WERT	Laufunruhe Zylinder 1	(Umdr./sec)^2	lutskzyl_w	-	signed integer	-	0,007105427328497171	1	0,0
ILUZ4	0x5A32	STAT_LAUFUNRUHE_ZYLINDER_4_WERT	Laufunruhe Zylinder 4 (4-Zylinder)	(Umdr./sec)^2	lutskzyl_w	-	signed integer	-	0,007105427328497171	1	0,0
ILUZ3	0x5A34	STAT_LAUFUNRUHE_ZYLINDER_3_WERT	Laufunruhe Zylinder 3 (4-Zylinder)	(Umdr./sec)^2	lutskzyl_w	-	signed integer	-	0,007105427328497171	1	0,0
ILUZ2	0x5A35	STAT_LAUFUNRUHE_ZYLINDER_2_WERT	Laufunruhe Zylinder 2 (4-Zylinder)	(Umdr./sec)^2	lutskzyl_w	-	signed integer	-	0,007105427328497171	1	0,0
ISKLO	0x5A36	STAT_STATUS_KLOPFEN_WERT	Status Klopfen	-	B_kl	-	unsigned char	-	1	1	0
IUKZ1	0x5A37	STAT_SPANNUNG_KLOPFWERTE_ZYLINDER_1_WERT	Spannung Klopfwerte Zylinder 1	V	rkrnv6_w	-	unsigned integer	-	0,0048828125	1	0,0
IUKZ4	0x5A39	STAT_SPANNUNG_KLOPFWERTE_ZYLINDER_4_WERT	Spannung Klopfwerte Zylinder 4 (4-Zylinder)	V	rkrnv6_w	-	unsigned integer	-	0,0048828125	1	0,0
IUKZ3	0x5A3B	STAT_SPANNUNG_KLOPFWERTE_ZYLINDER_3_WERT	Spannung Klopfwerte Zylinder 3 (4-Zylinder)	V	rkrnv6_w	-	unsigned integer	-	0,0048828125	1	0,0
IUKZ2	0x5A3C	STAT_SPANNUNG_KLOPFWERTE_ZYLINDER_2_WERT	Spannung Klopfwerte Zylinder 2 (4-Zylinder)	V	rkrnv6_w	-	unsigned integer	-	0,0048828125	1	0,0
IZWZ1	0x5A49	STAT_ZUENDWINKEL_ZYLINDER_1_WERT	Zündwinkel Zylinder 1	Grad KW	zwoutzyl_w	-	signed integer	-	0,10000000149011612	1	0,0
ILASB	0x5A4B	STAT_BERECHNETER_LASTWERT_WERT	Berechneter Lastwert	%	rml	-	unsigned char	-	0,390625	1	0,0
ILAB1	0x5A50	STAT_LAMBDAWERT_VOR_KAT_BANK_1_WERT	Lambdawert vor Katalysator Bank 1	-	lamsoni_w	-	unsigned integer	-	2,44140625E-4	1	0,0
IRNK1	0x5A52	STAT_STATUS_LS_HINTER_KAT_BANK_1_WERT	Status LS hinter Katalysator Bank 1	-	B_sbbhk	-	unsigned char	-	1	1	0
ISHN1	0x5A54	STAT_STATUS_LS_HEIZUNG_HINTER_KAT_BANK_1_WERT	Status LS Heizung hinter Katalysator Bank 1	-	B_hsha	-	unsigned char	-	1	1	0
ISHV1	0x5A56	STAT_STATUS_LS_HEIZUNG_VOR_KAT_BANK_1_WERT	Status LS Heizung vor Katalysator Bank 1	-	B_hstlsua	-	unsigned char	-	1	1	0
IAHV1	0x5A58	STAT_LAMBDASONDENHEIZUNG_PWM_VOR_KAT_BANK_1_WERT	Lambdasondenheizung PWM vor Katalysator Bank 1	%	tahrlsu_w	-	unsigned integer	-	0,0030517578125	1	0,0
IAHN1	0x5A59	STAT_LAMBDASONDENHEIZUNG_PWM_HINTER_KAT_BANK_1_WERT	Lambdasondenheizung PWM hinter Katalysator Bank 1	-	phlsnh	-	unsigned char	-	0,009999999776482582	1	0,0
ISBLS	0x5A60	STAT_BREMSLICHTSCHALTER_EIN_WERT	Bremslichtschalter Ein	-	B_bl	-	unsigned char	-	1	1	0
ISBLT	0x5A61	STAT_BREMSLICHTTESTSCHALTER_EIN_WERT	Bremslichttestschalter Ein	-	B_br	-	unsigned char	-	1	1	0
ISDMP	0x5A66	STAT_DMTL_PUMPE_EIN_WERT	DMTL Pumpe Ein	-	B_admtpm	-	unsigned char	-	1	1	0
ISDMV	0x5A67	STAT_DMTL_VENTIL_EIN_WERT	DMTL Ventil Ein	-	B_admtmv	-	unsigned char	-	1	1	0
ISDMH	0x5A68	STAT_DMTL_HEIZUNG_EIN_WERT	DMTL Heizung Ein	-	B_hdmtlp	-	unsigned char	-	1	1	0
ISMIL	0x5A69	STAT_MIL_LAMPE_EIN_WERT	MIL Lampe Ein	-	B_mil	-	unsigned char	-	1	1	0
STAT_0x5A6A_WERT	0x5A6A	STAT_LAMPE_FGR_EIN_WERT	Lampe FGR Ein	-	B_fgr	-	unsigned char	-	1	1	0
ISCEL	0x5A6B	STAT_LAMPE_CHECK_ENGINE_EIN_WERT	Lampe Check Engine Ein	-	B_epcl	-	unsigned char	-	1	1	0
STAT_0x5A6C_WERT	0x5A6C	STAT_VERBRAUCHSKORREKTURFAKTOR_WERT	Verbrauchskorrekturfaktor	%	kva_korr	-	signed char	-	0,0010000000474974513	1	0,0
STAT_0x5A73_WERT	0x5A73	STAT_KURBELGEHAEUSEENTLUEFTUNGSHEIZUNG_WERT	Kurbelgehäuseentlüftungsheizung	-	B_oelah	-	unsigned char	-	1	1	0
IAKFT	0x5A74	STAT_BEHEIZTER_THERMOSTAT_PWM_WERT	Beheizter Thermostat PWM	-	tkwpwm	-	signed integer	-	0,10000000149011612	1	0,0
IATEV	0x5A77	STAT_TANKENTLUEFTUNGSVENTIL_TEV_PWM_WERT	Tankentlüftungsventil TEV PWM	%	tateout_w	-	unsigned integer	-	0,00152587890625	1	0,0
IAVEP	0x5A7A	STAT_EINLASS_VANOS_PWM_WERT	VANOS PWM Wert Einlass	%	tanwree_w	-	unsigned integer	-	0,00152587890625	1	0,0
IAVAP	0x5A7B	STAT_AUSLASS_VANOS_PWM_WERT	VANOS PWM Wert Auslass	%	tanwraa_w	-	unsigned integer	-	0,00152587890625	1	0,0
IINT1	0x5A81	STAT_INTEGRATOR_BANK_1_WERT	Integrator Bank 1	-	fr_w	-	unsigned integer	-	3,0517578125E-5	1	0,0
IMUL1	0x5A85	STAT_MULTIPLIKATIVE_GEMISCHADAPTION_BANK_1_WERT	Gegenwärtige multiplikative Gemischadaption Bank 1 aus neuronalem Netz	-	fra_w	-	unsigned integer	-	3,0517578125E-5	1	0,0
STAT_0x5A87_WERT	0x5A87	STAT_ADAPTIONSWERT_TRIMMREGELUNG_BANK_1_WERT	Adaptionswert Trimregelung Bank 1	-	dlatrmo_w	-	signed integer	-	3,0517578125E-5	1	0,0
STAT_0x5A91_WERT	0x5A91	STAT_KATALYSATORDIAGNOSEWERT_BANK1_WERT	Katalysatordiagnosewert Bank1	-	avkatf	-	unsigned char	-	0,00390625	1	0,0
STAT_0x5A93_WERT	0x5A93	STAT_FEHLERZAEHLER_FUER_NULLGANG_LERNEN_WERT	Fehlerzähler für Lernen Nullgang	-	GbxNPos_ctDefPlausDia	-	unsigned char	-	1,0	1	0,0
SANWA	0x5A94	STAT_NOCKENWELLE_AUSLASS_SOLLWERT_WERT	Nockenwelle Auslass Sollwert	Grad KW	wnwsswa_w	-	signed integer	-	0,0078125	1	0,0
IANWA	0x5A95	STAT_ADAPTIONSWERT_NOCKENWELLE_AUSLASS_WERT	Adaptionswert Nockenwelle Auslass	deg CrS	EpmCaS_phiAdapRefPosO1_mp	-	signed integer	-	0,02197265625	1	0,0
IANWE	0x5A96	STAT_ADAPTIONSWERT_NOCKENWELLE_EINLASS_WERT	Adaptionswert Nockenwelle Einlass	deg CrS	EpmCaS_phiAdapRefPosI1_mp	-	signed integer	-	0,02197265625	1	0,0
STAT_0x5A97_WERT	0x5A97	STAT_BEDINGUNG_EVANOS_IM_ANSCHLAG_BEIM_LETZTEN_ABSTELLEN_WERT	Bedingung EVANOS im Anschlag beim letzten Abstellen	-	B_vseansch	-	unsigned char	-	1	1	0
IAKWF	0x5A99	STAT_KURBELWELLEN_ADAPTION_BEENDET_WERT	Kurbelwellen Adaption beendet	-	fofstat	-	unsigned char	-	1,0	1	0,0
STAT_0x5A9D_WERT	0x5A9D	STAT_MULTIPLIKATIVE_GEMISCHKORREKTUR_DER_GEMISCHADAPTION_WERT	multiplikative Gemischkorrektur der Gemischadaption	-	frai_w	-	unsigned integer	-	3,0517578125E-5	1	0,0
STAT_0x5A9F_WERT	0x5A9F	STAT_LANGZEITADAPTION_WERT	Langzeitadaption	-	frannlza_w	-	unsigned integer	-	3,0517578125E-5	1	0,0
IDTEV	0x5AA2	STAT_STATUS_DIAGNOSE_DMTL_WERT	Status Diagnose DMTL	-	stpdmtla	-	unsigned char	-	1,0	1	0,0
IDLSS	0x5AA4	STAT_STATUS_DIAGNOSE_LEERLAUFDREHZAHLVERSTELLUNG_WERT	Status Diagnose Leerlaufdrehzahlverstellung	-	llsstat	-	unsigned char	-	1,0	1	0,0
STAT_0x5AAA_WERT	0x5AAA	STAT_TASTVERHAELTNIS_OELDRUCK_REGELVENTIL_WERT	Tastverhältnis Öldruck-Regelventil	%	tvpoel_w	-	unsigned integer	-	0,00152587890625	1	0,0
STAT_0x5AAB_WERT	0x5AAB	STAT_WASTEGATE_1_PWM_WERT	Wastegate 1 PWM	%	tvldste_w	-	unsigned integer	-	0,00152587890625	1	0,0
STAT_0x5AB0_WERT	0x5AB0	STAT_SOLLLADEDRUCK_WERT	Sollladedruck	hPa	psolldr_w	-	unsigned integer	-	0,0390625	1	0,0
